Wall time,Step,Value
1683118168.3443027,353,-1000.0895385742188
1683118170.2729535,354,-1000.0480346679688
1683118174.3487651,356,-1000.0845336914062
1683118178.2868423,358,-1000.0349731445312
1683118182.2037244,360,-1000.256591796875
1683118188.1025548,363,-1000.0681762695312
1683118195.7376702,367,-1000.4542236328125
1683118203.5217006,371,-1000.28466796875
1683118207.4202478,373,-1000.2744750976562
1683118215.378723,377,-1000.38037109375
1683118217.3785195,378,-1000.1629638671875
1683118219.255578,379,-1000.2052612304688
1683118223.1611066,381,-1000.2354125976562
1683118225.0542593,382,-1000.3143310546875
1683118233.1936474,386,-1000.4619140625
1683118235.225946,387,-1000.0045776367188
1683118237.0690665,388,-1000.2545166015625
1683118242.9336872,391,-1000.0678100585938
1683118244.8400478,392,-1000.332275390625
1683118246.7878397,393,-1000.2635498046875
1683118266.5026026,403,-1000.4050903320312
1683118276.340305,408,-1000.3240966796875
1683118289.847994,415,-1000.17236328125
1683118291.9678621,416,-1000.4378051757812
1683118301.7752228,421,-1000.165283203125
1683118303.8091214,422,-1000.0928344726562
1683118307.7510777,424,-1000.2607421875
1683118311.6726463,426,-1000.3260498046875
1683118319.436197,430,-1000.1262817382812
1683118337.099557,439,-1000.2684326171875
1683118339.1216946,440,-1000.3175659179688
1683118341.041422,441,-1000.376708984375
1683118343.0387273,442,-1000.2206420898438
1683118348.8564143,445,-1000.3622436523438
1683118360.788182,451,-1000.4205322265625
1683118374.6712291,458,-1000.29052734375
1683118376.6866913,459,-1000.4049682617188
1683118378.6163337,460,-1000.3109130859375
1683118380.6642497,461,-1000.0934448242188
1683118384.8530462,463,-1000.17138671875
1683118386.9077046,464,-1000.0353393554688
1683118392.746289,467,-1000.3760986328125
1683118394.631696,468,-1000.0609130859375
1683118396.6149943,469,-1000.3306274414062
1683118404.4429114,473,-1000.1123046875
1683118406.4170501,474,-1000.4208984375
1683118414.4097476,478,-1000.3223876953125
1683118428.0411344,485,-1000.2855224609375
1683118433.9844604,488,-1000.0990600585938
1683118435.9032934,489,-1000.2404174804688
1683118439.7801425,491,-1000.103759765625
1683118443.9288552,493,-1000.4356079101562
1683118449.8631332,496,-1000.0711059570312
1683118471.4965174,507,-1000.03466796875
1683118477.4458396,510,-1000.08935546875
1683118479.4022758,511,-1000.0686645507812
1683118481.477908,512,-1000.3536987304688
1683118485.3441727,514,-1000.1835327148438
